score,title,company,location,link,source,matched
44,Cybersecurity Analyst (SOC Analyst / Threat Monitoring & Response),Unknown,Unknown,https://www.linkedin.com/jobs/view/cybersecurity-analyst-soc-analyst-threat-monitoring-response-at-avint-4387454926?position=40&amp;pageNum=0&amp;refId=HFlPPv%2BeCGaeEVb4ULObrA%3D%3D&amp;trackingId=n5UefgA1sEv8CBzERaqR1A%3D%3D,https://www.linkedin.com/jobs/search/?keywords=cybersecurity%20analyst&location=Remote,"+kw:cybersecurity, +kw:soc, +kw:security analyst, +kw:threat, +loc:remote, +remote, +entry:analyst"
44,Cybersecurity Analyst (SOC Analyst / Threat Monitoring & Response),Unknown,Unknown,https://www.linkedin.com/jobs/view/cybersecurity-analyst-soc-analyst-threat-monitoring-response-at-avint-4387454926?position=19&amp;pageNum=0&amp;refId=K%2BOo11%2FJRLisK%2BXL8lhM2Q%3D%3D&amp;trackingId=xvf5TRphe52iJt8UUyr9Kg%3D%3D,https://www.linkedin.com/jobs/search/?keywords=soc%20analyst&location=Remote,"+kw:cybersecurity, +kw:soc, +kw:security analyst, +kw:threat, +loc:remote, +remote, +entry:analyst"
36,Associate Cybersecurity Analyst,Unknown,Unknown,https://www.linkedin.com/jobs/view/associate-cybersecurity-analyst-at-optomi-4392892265?position=29&amp;pageNum=0&amp;refId=HFlPPv%2BeCGaeEVb4ULObrA%3D%3D&amp;trackingId=OTKfV4lW0UhcJ3OeqgSDEw%3D%3D,https://www.linkedin.com/jobs/search/?keywords=cybersecurity%20analyst&location=Remote,"+kw:cybersecurity, +kw:soc, +kw:security analyst, +loc:remote, +remote, +entry:associate"
36,"Associate Analyst, IT Cybersecurity Incident Response",Unknown,Unknown,https://www.linkedin.com/jobs/view/associate-analyst-it-cybersecurity-incident-response-at-american-airlines-4387506608?position=49&amp;pageNum=0&amp;refId=HFlPPv%2BeCGaeEVb4ULObrA%3D%3D&amp;trackingId=eK%2BXNeTaY9Y%2FCVvjO%2FtskA%3D%3D,https://www.linkedin.com/jobs/search/?keywords=cybersecurity%20analyst&location=Remote,"+kw:cybersecurity, +kw:soc, +kw:incident response, +loc:remote, +remote, +entry:associate"
36,Cybersecurity Analyst,Unknown,Unknown,https://www.linkedin.com/jobs/view/cybersecurity-analyst-at-hermeus-4388233800?position=9&amp;pageNum=0&amp;refId=K%2BOo11%2FJRLisK%2BXL8lhM2Q%3D%3D&amp;trackingId=CIKc4UE7DGJ2D7yhRmj0eQ%3D%3D,https://www.linkedin.com/jobs/search/?keywords=soc%20analyst&location=Remote,"+kw:cybersecurity, +kw:soc, +kw:security analyst, +loc:remote, +remote, +entry:analyst"
36,Tier I Cybersecurity Analyst,Unknown,Unknown,https://www.linkedin.com/jobs/view/tier-i-cybersecurity-analyst-at-tangent-technologies-llc-4369718853?position=22&amp;pageNum=0&amp;refId=K%2BOo11%2FJRLisK%2BXL8lhM2Q%3D%3D&amp;trackingId=RvG2kcEpO3cpYa99Toot7A%3D%3D,https://www.linkedin.com/jobs/search/?keywords=soc%20analyst&location=Remote,"+kw:cybersecurity, +kw:soc, +kw:security analyst, +loc:remote, +remote, +entry:analyst"
36,CyberSecurity Analyst (Purview),Unknown,Unknown,https://www.indeed.com/rc/clk?jk=cb948de11068e731&amp;bb=YmvbOgBXDjtinJngbYddjxy2AoPda-ahVpS697WifgHicfq2H1lFmf5cF5G2AWF-qxDNfNRp3aLEjP8P4IizXCdFAxdX9T-kVex5aXjofCnsFcSsocYUuuoOK3cLBAswjafz9ZlXv2z79TdMIonjOQ%3D%3D&amp;xkcb=SoDQ67M3lnQsEcSNyB0PbzkdCdPP&amp;fccid=e7434ab23b6ba6bc&amp;vjs=3,https://www.indeed.com/jobs?q=soc+analyst&l=Remote,"+kw:cybersecurity, +kw:soc, +kw:security analyst, +loc:remote, +remote, +entry:analyst"
36,"Cybersecurity Analyst jobs in Charlotte, NC",Unknown,Unknown,"https://www.indeed.com/q-cybersecurity-analyst-l-charlotte,-nc-jobs.html",https://www.indeed.com/jobs?q=soc+analyst&l=Remote,"+kw:cybersecurity, +kw:soc, +kw:security analyst, +loc:remote, +remote, +entry:analyst"
36,"CyberSecurity Analyst (Purview) salaries in Charlotte, NC",Unknown,Unknown,https://www.indeed.com/career/cybersecurity-analyst/salaries/28217--NC?campaignid=serp-more&amp;fromjk=cb948de11068e731&amp;from=serp-more,https://www.indeed.com/jobs?q=soc+analyst&l=Remote,"+kw:cybersecurity, +kw:soc, +kw:security analyst, +loc:remote, +remote, +entry:analyst"
36,Cybersecurity Analyst,Unknown,Unknown,https://www.indeed.com/rc/clk?jk=1f26bc42bc970f34&amp;bb=YmvbOgBXDjtinJngbYddj0GAxJ9-Y0vr5rITIVLFQxqudNZ0lLHUB7FKVPimqYPdozRBTaFo0XYjLuBYzSIY7_jMkv_V9zpbcUZavHbw_gtz1gJkpyizUyjCfEnegKo9-WFmALQGFl5sYddBD9ygUA%3D%3D&amp;xkcb=SoCk67M3lnQsEcSNyB0DbzkdCdPP&amp;fccid=5c364519f6656d11&amp;vjs=3,https://www.indeed.com/jobs?q=soc+analyst&l=Remote,"+kw:cybersecurity, +kw:soc, +kw:security analyst, +loc:remote, +remote, +entry:analyst"
36,"Cybersecurity Analyst salaries in Atlanta, GA",Unknown,Unknown,https://www.indeed.com/career/cybersecurity-analyst/salaries/Atlanta--GA?campaignid=serp-more&amp;fromjk=1f26bc42bc970f34&amp;from=serp-more,https://www.indeed.com/jobs?q=soc+analyst&l=Remote,"+kw:cybersecurity, +kw:soc, +kw:security analyst, +loc:remote, +remote, +entry:analyst"
36,Cybersecurity Analyst,Unknown,Unknown,https://www.indeed.com/rc/clk?jk=4bcdcf24e159105b&amp;bb=YmvbOgBXDjtinJngbYddj1-8r-s-_UmVwK1nAjoaPUnfNSilueV4DhtOySOMn6g5BJX9PfemPpmZC2VguQm0P1gnNHSz87WeMN5I4gVvOY-n9U17tHAzc7lA1IdDc7QEhFvSUodZjNzTuIhoRqQrNQ%3D%3D&amp;xkcb=SoAQ67M3lnQsEcSNyB0CbzkdCdPP&amp;fccid=6e81b600519bee37&amp;vjs=3,https://www.indeed.com/jobs?q=soc+analyst&l=Remote,"+kw:cybersecurity, +kw:soc, +kw:security analyst, +loc:remote, +remote, +entry:analyst"
36,Cybersecurity Analyst salaries in Remote,Unknown,Unknown,https://www.indeed.com/career/cybersecurity-analyst/salaries?campaignid=serp-more&amp;fromjk=4bcdcf24e159105b&amp;from=serp-more,https://www.indeed.com/jobs?q=soc+analyst&l=Remote,"+kw:cybersecurity, +kw:soc, +kw:security analyst, +loc:remote, +remote, +entry:analyst"
36,Cybersecurity Analyst,Unknown,Unknown,https://www.indeed.com/rc/clk?jk=766cf73c9c3f9113&amp;bb=YmvbOgBXDjtinJngbYddjwzPDeCbl5N3aoqFzXlBM1NGBnxkboq27CTurAG1p0Bv5ZQ13Ng_a5ggcDoW23PlkyxbVpcCAzQ5FV6qFnYJ0hFEnZlZezIdtnbAxISLHZUpvTu2m2AGHaPRSUIF6O-S2Q%3D%3D&amp;xkcb=SoC367M3lnQsEcSNyB0HbzkdCdPP&amp;fccid=2c900ad8919fc9ee&amp;vjs=3,https://www.indeed.com/jobs?q=soc+analyst&l=Remote,"+kw:cybersecurity, +kw:soc, +kw:security analyst, +loc:remote, +remote, +entry:analyst"
36,Cybersecurity Analyst salaries in Remote,Unknown,Unknown,https://www.indeed.com/career/cybersecurity-analyst/salaries?campaignid=serp-more&amp;fromjk=766cf73c9c3f9113&amp;from=serp-more,https://www.indeed.com/jobs?q=soc+analyst&l=Remote,"+kw:cybersecurity, +kw:soc, +kw:security analyst, +loc:remote, +remote, +entry:analyst"
36,"Cybersecurity Analyst jobs in Arlington, VA",Unknown,Unknown,"https://www.indeed.com/q-cybersecurity-analyst-l-arlington,-va-jobs.html",https://www.indeed.com/jobs?q=soc+analyst&l=Remote,"+kw:cybersecurity, +kw:soc, +kw:security analyst, +loc:remote, +remote, +entry:analyst"
28,SOC Analyst,Unknown,Unknown,https://in.linkedin.com/jobs/view/soc-analyst-at-protera-4395028068?position=2&amp;pageNum=0&amp;refId=HFlPPv%2BeCGaeEVb4ULObrA%3D%3D&amp;trackingId=b4fjvg8qLDC4rK3H2ByYwQ%3D%3D,https://www.linkedin.com/jobs/search/?keywords=cybersecurity%20analyst&location=Remote,"+kw:cybersecurity, +kw:soc, +loc:remote, +remote, +entry:analyst"
28,Cyber Security Analyst (Rif. 2025-127),Unknown,Unknown,https://www.linkedin.com/jobs/view/cyber-security-analyst-rif-2025-127-at-aizoon-usa-4286713154?position=3&amp;pageNum=0&amp;refId=HFlPPv%2BeCGaeEVb4ULObrA%3D%3D&amp;trackingId=l0ZPi7b8WLap6pO0f4sfsw%3D%3D,https://www.linkedin.com/jobs/search/?keywords=cybersecurity%20analyst&location=Remote,"+kw:cybersecurity, +kw:security analyst, +loc:remote, +remote, +entry:analyst"
28,SOC Analyst,Unknown,Unknown,https://uk.linkedin.com/jobs/view/soc-analyst-at-oxford-ionics-4393568680?position=4&amp;pageNum=0&amp;refId=HFlPPv%2BeCGaeEVb4ULObrA%3D%3D&amp;trackingId=LjQ7bEI1NphMfSWtjzGS8Q%3D%3D,https://www.linkedin.com/jobs/search/?keywords=cybersecurity%20analyst&location=Remote,"+kw:cybersecurity, +kw:soc, +loc:remote, +remote, +entry:analyst"
28,IT Security Analyst,Unknown,Unknown,https://www.linkedin.com/jobs/view/it-security-analyst-at-access-data-consulting-corporation-4393045002?position=5&amp;pageNum=0&amp;refId=HFlPPv%2BeCGaeEVb4ULObrA%3D%3D&amp;trackingId=9kCwk1pRXU%2Bm4yAxKpK3Zw%3D%3D,https://www.linkedin.com/jobs/search/?keywords=cybersecurity%20analyst&location=Remote,"+kw:cybersecurity, +kw:security analyst, +loc:remote, +remote, +entry:analyst"
28,Cyber Security Analyst,Unknown,Unknown,https://www.linkedin.com/jobs/view/cyber-security-analyst-at-franklin-fitch-4380901372?position=7&amp;pageNum=0&amp;refId=HFlPPv%2BeCGaeEVb4ULObrA%3D%3D&amp;trackingId=%2BV1%2BB0ZtFTr2GP89FP5lYQ%3D%3D,https://www.linkedin.com/jobs/search/?keywords=cybersecurity%20analyst&location=Remote,"+kw:cybersecurity, +kw:security analyst, +loc:remote, +remote, +entry:analyst"
28,Cyber Security Analyst,Unknown,Unknown,https://www.linkedin.com/jobs/view/cyber-security-analyst-at-soho-square-solutions-4381743899?position=11&amp;pageNum=0&amp;refId=HFlPPv%2BeCGaeEVb4ULObrA%3D%3D&amp;trackingId=ht0WHHSjmexPOrhFlFQQ8A%3D%3D,https://www.linkedin.com/jobs/search/?keywords=cybersecurity%20analyst&location=Remote,"+kw:cybersecurity, +kw:security analyst, +loc:remote, +remote, +entry:analyst"
28,Cybersecurity Analyst,Unknown,Unknown,https://www.linkedin.com/jobs/view/cybersecurity-analyst-at-hermeus-4388233800?position=13&amp;pageNum=0&amp;refId=HFlPPv%2BeCGaeEVb4ULObrA%3D%3D&amp;trackingId=lr%2FJNdifsjA4WDZ8uS2NbA%3D%3D,https://www.linkedin.com/jobs/search/?keywords=cybersecurity%20analyst&location=Remote,"+kw:cybersecurity, +kw:security analyst, +loc:remote, +remote, +entry:analyst"
28,Cyber Security Analyst (Jr),Unknown,Unknown,https://www.linkedin.com/jobs/view/cyber-security-analyst-jr-at-ses-corporation-4394953382?position=14&amp;pageNum=0&amp;refId=HFlPPv%2BeCGaeEVb4ULObrA%3D%3D&amp;trackingId=cO0UAYzX6XY%2B8BeLIAaOow%3D%3D,https://www.linkedin.com/jobs/search/?keywords=cybersecurity%20analyst&location=Remote,"+kw:cybersecurity, +kw:security analyst, +loc:remote, +remote, +entry:analyst"
28,Cyber Security Analyst,Unknown,Unknown,https://www.linkedin.com/jobs/view/cyber-security-analyst-at-interex-group-4395032552?position=15&amp;pageNum=0&amp;refId=HFlPPv%2BeCGaeEVb4ULObrA%3D%3D&amp;trackingId=18AZWInraYVYHfsaFPoQ6A%3D%3D,https://www.linkedin.com/jobs/search/?keywords=cybersecurity%20analyst&location=Remote,"+kw:cybersecurity, +kw:security analyst, +loc:remote, +remote, +entry:analyst"
28,Cyber Security Analyst (Jr),Unknown,Unknown,https://www.linkedin.com/jobs/view/cyber-security-analyst-jr-at-ses-corporation-4394943817?position=18&amp;pageNum=0&amp;refId=HFlPPv%2BeCGaeEVb4ULObrA%3D%3D&amp;trackingId=bqCsUNYn2Mc%2FbZ7G6pEzlw%3D%3D,https://www.linkedin.com/jobs/search/?keywords=cybersecurity%20analyst&location=Remote,"+kw:cybersecurity, +kw:security analyst, +loc:remote, +remote, +entry:analyst"
28,IT Security Analyst,Unknown,Unknown,https://www.linkedin.com/jobs/view/it-security-analyst-at-idr-inc-4394681234?position=19&amp;pageNum=0&amp;refId=HFlPPv%2BeCGaeEVb4ULObrA%3D%3D&amp;trackingId=LHXtN9obUmFiGmy8kHdEfg%3D%3D,https://www.linkedin.com/jobs/search/?keywords=cybersecurity%20analyst&location=Remote,"+kw:cybersecurity, +kw:security analyst, +loc:remote, +remote, +entry:analyst"
28,Level 1 Security Analyst,Unknown,Unknown,https://au.linkedin.com/jobs/view/level-1-security-analyst-at-triskele-labs-4387672477?position=20&amp;pageNum=0&amp;refId=HFlPPv%2BeCGaeEVb4ULObrA%3D%3D&amp;trackingId=rd7IaYluxPAZQLNaCdgzcw%3D%3D,https://www.linkedin.com/jobs/search/?keywords=cybersecurity%20analyst&location=Remote,"+kw:cybersecurity, +kw:security analyst, +loc:remote, +remote, +entry:analyst"
28,SOC Analyst – Tier 2,Unknown,Unknown,https://www.linkedin.com/jobs/view/soc-analyst-%E2%80%93-tier-2-at-apavo-corporation-4393299614?position=21&amp;pageNum=0&amp;refId=HFlPPv%2BeCGaeEVb4ULObrA%3D%3D&amp;trackingId=4nt5Tk8ZmMKvjYpXdJk1Dw%3D%3D,https://www.linkedin.com/jobs/search/?keywords=cybersecurity%20analyst&location=Remote,"+kw:cybersecurity, +kw:soc, +loc:remote, +remote, +entry:analyst"
28,Cyber Security Analyst,Unknown,Unknown,https://www.linkedin.com/jobs/view/cyber-security-analyst-at-atomus-4374301212?position=22&amp;pageNum=0&amp;refId=HFlPPv%2BeCGaeEVb4ULObrA%3D%3D&amp;trackingId=2qdzl2LLv%2BvdoYF5f7IGVA%3D%3D,https://www.linkedin.com/jobs/search/?keywords=cybersecurity%20analyst&location=Remote,"+kw:cybersecurity, +kw:security analyst, +loc:remote, +remote, +entry:analyst"
28,EXECUTIVE SOC,Unknown,Unknown,https://in.linkedin.com/jobs/view/executive-soc-at-network-techlab-india-limited-4393555873?position=23&amp;pageNum=0&amp;refId=HFlPPv%2BeCGaeEVb4ULObrA%3D%3D&amp;trackingId=iDkjChP55gPHP4isLhbIlQ%3D%3D,https://www.linkedin.com/jobs/search/?keywords=cybersecurity%20analyst&location=Remote,"+kw:cybersecurity, +kw:soc, +loc:remote, +remote, +entry:analyst"
